
 update_frequency, cost_factor, target_number, training_month, lam_1, lam_2, c_r,a_r,a_v,d_te,d_tev,m_tr,mse
 annually, 0, 45, 6, 0.08740234375, 0.5, 40.69%,11.27%,12.27%,0.296%,0.203%,10.98%, 8.77e-06
 semi-annually, 0, 45, 6, 0.0869140625, 0.5, 28.18%,8.29%,12.22%,0.283%,0.196%,32.68%, 8.04e-06
 quarterly, 0, 45, 6, 0.09033203125, 0.5, 20.65%,6.41%,12.33%,0.274%,0.186%,98.35%, 7.52e-06
 buy-and-hold, 0, 45, 6, 0.0062255859375, 0.6000000000000001, 40.41%,11.00%,10.66%,0.302%,0.210%,0.00%, 9.13e-06
 annually, 0, 45, 6, 0.08740234375, 0.6000000000000001, 40.69%,11.27%,12.27%,0.296%,0.203%,10.97%, 8.77e-06
 semi-annually, 0, 45, 6, 0.0869140625, 0.6000000000000001, 28.18%,8.29%,12.22%,0.283%,0.196%,32.69%, 8.04e-06
 quarterly, 0, 45, 6, 0.09033203125, 0.6000000000000001, 20.65%,6.41%,12.33%,0.274%,0.186%,98.39%, 7.52e-06
 buy-and-hold, 0, 45, 6, 0.0062255859375, 0.7000000000000001, 40.41%,11.00%,10.66%,0.302%,0.210%,0.00%, 9.13e-06
 annually, 0, 45, 6, 0.08740234375, 0.7000000000000001, 40.69%,11.27%,12.27%,0.296%,0.203%,10.96%, 8.77e-06
 semi-annually, 0, 45, 6, 0.0869140625, 0.7000000000000001, 28.18%,8.29%,12.22%,0.283%,0.196%,32.70%, 8.04e-06
 quarterly, 0, 45, 6, 0.09033203125, 0.7000000000000001, 21.21%,6.56%,12.33%,0.274%,0.186%,98.32%, 7.51e-06
 buy-and-hold, 0, 45, 6, 0.0062255859375, 0.8, 40.41%,11.00%,10.66%,0.302%,0.210%,0.00%, 9.13e-06
 annually, 0, 45, 6, 0.08740234375, 0.8, 40.69%,11.27%,12.27%,0.296%,0.203%,10.96%, 8.77e-06
 semi-annually, 0, 45, 6, 0.0869140625, 0.8, 28.18%,8.29%,12.22%,0.283%,0.196%,32.70%, 8.04e-06
 quarterly, 0, 45, 6, 0.09033203125, 0.8, 21.21%,6.56%,12.33%,0.274%,0.186%,98.35%, 7.51e-06
 buy-and-hold, 0, 45, 6, 0.0062255859375, 0.9, 40.41%,11.00%,10.66%,0.302%,0.210%,0.00%, 9.13e-06
 annually, 0, 45, 6, 0.08740234375, 0.9, 40.69%,11.27%,12.27%,0.296%,0.203%,10.95%, 8.77e-06
 semi-annually, 0, 45, 6, 0.0869140625, 0.9, 28.84%,8.45%,12.22%,0.282%,0.195%,32.74%, 7.97e-06
 quarterly, 0, 45, 6, 0.09033203125, 0.9, 21.21%,6.56%,12.33%,0.274%,0.186%,98.74%, 7.51e-06
 buy-and-hold, 0, 45, 6, 0.00616455078125, 1.0, 40.41%,11.00%,10.66%,0.302%,0.210%,0.00%, 9.13e-06
 annually, 0, 45, 6, 0.08740234375, 1.0, 40.69%,11.27%,12.27%,0.296%,0.203%,10.96%, 8.77e-06
 semi-annually, 0, 45, 6, 0.0869140625, 1.0, 28.84%,8.45%,12.22%,0.282%,0.195%,32.75%, 7.97e-06
 quarterly, 0, 45, 6, 0.09033203125, 1.0, 21.21%,6.56%,12.33%,0.274%,0.186%,98.61%, 7.51e-06
 NA, NA, NA, NA, NA, NA, 39.14%,11.01%,12.99%,0.000%,0.000%,0.00%, 0.00e+00
 update_frequency, cost_factor, target_number, training_month, lam_1, lam_2, c_r,a_r,a_v,d_te,d_tev,m_tr,mse
 buy-and-hold, 0, 45, 6, 0.0064239501953125, 0.0, 39.04%,10.71%,10.92%,0.304%,0.207%,0.00%, 9.26e-06
 annually, 0, 45, 6, 0.08740234375, 0.0, 39.78%,11.06%,12.31%,0.294%,0.201%,10.94%, 8.66e-06
 semi-annually, 0, 45, 6, 0.0869140625, 0.0, 28.34%,8.33%,12.24%,0.283%,0.195%,32.66%, 8.04e-06
 quarterly, 0, 45, 6, 0.0908203125, 0.0, 20.96%,6.50%,12.34%,0.273%,0.186%,98.71%, 7.48e-06
 buy-and-hold, 0, 45, 6, 0.006378173828125, 0.1, 40.41%,11.00%,10.66%,0.302%,0.210%,0.00%, 9.13e-06
 annually, 0, 45, 6, 0.08740234375, 0.1, 40.69%,11.27%,12.27%,0.296%,0.203%,10.95%, 8.77e-06
 semi-annually, 0, 45, 6, 0.0869140625, 0.1, 28.18%,8.29%,12.22%,0.283%,0.196%,32.66%, 8.04e-06
 quarterly, 0, 45, 6, 0.090576171875, 0.1, 20.65%,6.41%,12.33%,0.274%,0.186%,98.67%, 7.52e-06
 buy-and-hold, 0, 45, 6, 0.0062255859375, 0.2, 40.41%,11.00%,10.66%,0.302%,0.210%,0.00%, 9.13e-06
 annually, 0, 45, 6, 0.08740234375, 0.2, 40.69%,11.27%,12.27%,0.296%,0.203%,11.01%, 8.77e-06
 semi-annually, 0, 45, 6, 0.0869140625, 0.2, 28.18%,8.29%,12.22%,0.283%,0.196%,32.65%, 8.04e-06
 quarterly, 0, 45, 6, 0.090576171875, 0.2, 20.65%,6.41%,12.33%,0.274%,0.186%,98.58%, 7.52e-06
 buy-and-hold, 0, 45, 6, 0.0062255859375, 0.30000000000000004, 40.41%,11.00%,10.66%,0.302%,0.210%,0.00%, 9.13e-06
 annually, 0, 45, 6, 0.08740234375, 0.30000000000000004, 40.69%,11.27%,12.27%,0.296%,0.203%,11.00%, 8.77e-06
 semi-annually, 0, 45, 6, 0.0869140625, 0.30000000000000004, 28.18%,8.29%,12.22%,0.283%,0.196%,32.65%, 8.04e-06
 quarterly, 0, 45, 6, 0.090576171875, 0.30000000000000004, 20.65%,6.41%,12.33%,0.274%,0.186%,98.53%, 7.52e-06
 buy-and-hold, 0, 45, 6, 0.0062255859375, 0.4, 40.41%,11.00%,10.66%,0.302%,0.210%,0.00%, 9.13e-06
 annually, 0, 45, 6, 0.08740234375, 0.4, 40.69%,11.27%,12.27%,0.296%,0.203%,10.99%, 8.77e-06
 semi-annually, 0, 45, 6, 0.0869140625, 0.4, 28.18%,8.29%,12.22%,0.283%,0.196%,32.68%, 8.04e-06
 quarterly, 0, 45, 6, 0.09033203125, 0.4, 20.65%,6.41%,12.33%,0.274%,0.186%,98.41%, 7.52e-06
 buy-and-hold, 0, 45, 6, 0.0062255859375, 0.5, 40.41%,11.00%,10.66%,0.302%,0.210%,0.00%, 9.13e-06
 annually, 0, 45, 6, 0.08740234375, 0.5, 40.69%,11.27%,12.27%,0.296%,0.203%,10.98%, 8.77e-06
 semi-annually, 0, 45, 6, 0.0869140625, 0.5, 28.18%,8.29%,12.22%,0.283%,0.196%,32.68%, 8.04e-06
 quarterly, 0, 45, 6, 0.09033203125, 0.5, 20.65%,6.41%,12.33%,0.274%,0.186%,98.35%, 7.52e-06
 buy-and-hold, 0, 45, 6, 0.0062255859375, 0.6000000000000001, 40.41%,11.00%,10.66%,0.302%,0.210%,0.00%, 9.13e-06
 annually, 0, 45, 6, 0.08740234375, 0.6000000000000001, 40.69%,11.27%,12.27%,0.296%,0.203%,10.97%, 8.77e-06
 semi-annually, 0, 45, 6, 0.0869140625, 0.6000000000000001, 28.18%,8.29%,12.22%,0.283%,0.196%,32.69%, 8.04e-06
 quarterly, 0, 45, 6, 0.09033203125, 0.6000000000000001, 20.65%,6.41%,12.33%,0.274%,0.186%,98.39%, 7.52e-06
 buy-and-hold, 0, 45, 6, 0.0062255859375, 0.7000000000000001, 40.41%,11.00%,10.66%,0.302%,0.210%,0.00%, 9.13e-06
 annually, 0, 45, 6, 0.08740234375, 0.7000000000000001, 40.69%,11.27%,12.27%,0.296%,0.203%,10.96%, 8.77e-06
 semi-annually, 0, 45, 6, 0.0869140625, 0.7000000000000001, 28.18%,8.29%,12.22%,0.283%,0.196%,32.70%, 8.04e-06
 quarterly, 0, 45, 6, 0.09033203125, 0.7000000000000001, 21.21%,6.56%,12.33%,0.274%,0.186%,98.32%, 7.51e-06
 buy-and-hold, 0, 45, 6, 0.0062255859375, 0.8, 40.41%,11.00%,10.66%,0.302%,0.210%,0.00%, 9.13e-06
 annually, 0, 45, 6, 0.08740234375, 0.8, 40.69%,11.27%,12.27%,0.296%,0.203%,10.96%, 8.77e-06
 semi-annually, 0, 45, 6, 0.0869140625, 0.8, 28.18%,8.29%,12.22%,0.283%,0.196%,32.70%, 8.04e-06
 quarterly, 0, 45, 6, 0.09033203125, 0.8, 21.21%,6.56%,12.33%,0.274%,0.186%,98.35%, 7.51e-06
 buy-and-hold, 0, 45, 6, 0.0062255859375, 0.9, 40.41%,11.00%,10.66%,0.302%,0.210%,0.00%, 9.13e-06
 annually, 0, 45, 6, 0.08740234375, 0.9, 40.69%,11.27%,12.27%,0.296%,0.203%,10.95%, 8.77e-06
 semi-annually, 0, 45, 6, 0.0869140625, 0.9, 28.84%,8.45%,12.22%,0.282%,0.195%,32.74%, 7.97e-06
 quarterly, 0, 45, 6, 0.09033203125, 0.9, 21.21%,6.56%,12.33%,0.274%,0.186%,98.74%, 7.51e-06
 buy-and-hold, 0, 45, 6, 0.00616455078125, 1.0, 40.41%,11.00%,10.66%,0.302%,0.210%,0.00%, 9.13e-06
 annually, 0, 45, 6, 0.08740234375, 1.0, 40.69%,11.27%,12.27%,0.296%,0.203%,10.96%, 8.77e-06
 semi-annually, 0, 45, 6, 0.0869140625, 1.0, 28.84%,8.45%,12.22%,0.282%,0.195%,32.75%, 7.97e-06
 quarterly, 0, 45, 6, 0.09033203125, 1.0, 21.21%,6.56%,12.33%,0.274%,0.186%,98.61%, 7.51e-06
 NA, NA, NA, NA, NA, NA, 39.14%,11.01%,12.99%,0.000%,0.000%,0.00%, 0.00e+00
