
 update_frequency, cost_factor, target_number, training_month, lam_1, lam_2, c_r,a_r,a_v,d_te,d_tev,m_tr,mse
 quarterly, 0, 45, 6, 0.10931396484375, 0.2, 14.97%,4.95%,12.41%,0.328%,0.222%,76.52%, 1.08e-05
 buy-and-hold, 0, 45, 6, 0.012451171875, 0.30000000000000004, 38.01%,10.46%,10.77%,0.326%,0.224%,0.00%, 1.07e-05
 annually, 0, 45, 6, 0.113525390625, 0.30000000000000004, 31.86%,9.22%,12.49%,0.365%,0.248%,8.97%, 1.33e-05
 semi-annually, 0, 45, 6, 0.113037109375, 0.30000000000000004, 19.09%,6.03%,12.45%,0.354%,0.241%,26.76%, 1.25e-05
 quarterly, 0, 45, 6, 0.113525390625, 0.30000000000000004, 12.35%,4.24%,12.38%,0.336%,0.227%,74.32%, 1.13e-05
 buy-and-hold, 0, 45, 6, 0.01263427734375, 0.4, 38.01%,10.46%,10.77%,0.326%,0.224%,0.00%, 1.07e-05
 annually, 0, 45, 6, 0.1170654296875, 0.4, 25.08%,7.56%,12.53%,0.376%,0.259%,8.91%, 1.41e-05
 semi-annually, 0, 45, 6, 0.11669921875, 0.4, 15.37%,5.05%,12.41%,0.360%,0.248%,26.41%, 1.30e-05
 quarterly, 0, 45, 6, 0.1171875, 0.4, 12.26%,4.22%,12.42%,0.345%,0.233%,72.94%, 1.20e-05
 buy-and-hold, 0, 45, 6, 0.01287078857421875, 0.5, 38.84%,10.63%,10.60%,0.324%,0.225%,0.00%, 1.05e-05
 annually, 0, 45, 6, 0.1201171875, 0.5, 27.78%,8.23%,12.51%,0.370%,0.253%,8.85%, 1.37e-05
 semi-annually, 0, 45, 6, 0.11962890625, 0.5, 19.65%,6.18%,12.46%,0.353%,0.239%,26.33%, 1.25e-05
 quarterly, 0, 45, 6, 0.11962890625, 0.5, 12.37%,4.24%,12.32%,0.348%,0.234%,72.08%, 1.22e-05
 buy-and-hold, 0, 45, 6, 0.013031005859375, 0.6000000000000001, 38.84%,10.63%,10.60%,0.324%,0.225%,0.00%, 1.05e-05
 annually, 0, 45, 6, 0.12255859375, 0.6000000000000001, 28.58%,8.43%,12.52%,0.372%,0.253%,8.90%, 1.39e-05
 semi-annually, 0, 45, 6, 0.122406005859375, 0.6000000000000001, 18.81%,5.96%,12.47%,0.356%,0.241%,26.07%, 1.27e-05
 quarterly, 0, 45, 6, 0.1220703125, 0.6000000000000001, 13.08%,4.44%,12.36%,0.354%,0.239%,71.21%, 1.26e-05
 buy-and-hold, 0, 45, 6, 0.01312255859375, 0.7000000000000001, 38.84%,10.63%,10.60%,0.324%,0.225%,0.00%, 1.05e-05
 annually, 0, 45, 6, 0.12457275390625, 0.7000000000000001, 28.73%,8.47%,12.51%,0.372%,0.253%,8.92%, 1.38e-05
 semi-annually, 0, 45, 6, 0.12451171875, 0.7000000000000001, 20.01%,6.28%,12.53%,0.362%,0.245%,25.97%, 1.31e-05
 quarterly, 0, 45, 6, 0.12445068359375, 0.7000000000000001, 12.16%,4.19%,12.38%,0.356%,0.240%,70.98%, 1.27e-05
 buy-and-hold, 0, 45, 6, 0.01324462890625, 0.8, 38.84%,10.63%,10.60%,0.324%,0.225%,0.00%, 1.05e-05
 annually, 0, 45, 6, 0.125732421875, 0.8, 28.73%,8.47%,12.51%,0.372%,0.253%,8.87%, 1.38e-05
 semi-annually, 0, 45, 6, 0.12548828125, 0.8, 19.88%,6.24%,12.47%,0.358%,0.242%,25.77%, 1.28e-05
 quarterly, 0, 45, 6, 0.1259765625, 0.8, 12.29%,4.22%,12.38%,0.355%,0.240%,70.20%, 1.27e-05
 buy-and-hold, 0, 45, 6, 0.0133056640625, 0.9, 38.84%,10.63%,10.60%,0.324%,0.225%,0.00%, 1.05e-05
 annually, 0, 45, 6, 0.1273193359375, 0.9, 28.73%,8.47%,12.51%,0.372%,0.253%,8.96%, 1.38e-05
 semi-annually, 0, 45, 6, 0.127197265625, 0.9, 19.88%,6.24%,12.47%,0.358%,0.242%,25.77%, 1.28e-05
 quarterly, 0, 45, 6, 0.126953125, 0.9, 11.69%,4.06%,12.34%,0.354%,0.238%,74.68%, 1.26e-05
 buy-and-hold, 0, 45, 6, 0.01336669921875, 1.0, 38.84%,10.63%,10.60%,0.324%,0.225%,0.00%, 1.05e-05
 annually, 0, 45, 6, 0.1282958984375, 1.0, 27.77%,8.23%,12.54%,0.375%,0.254%,8.93%, 1.41e-05
 semi-annually, 0, 45, 6, 0.1280517578125, 1.0, 18.71%,5.93%,12.47%,0.358%,0.241%,25.56%, 1.28e-05
 quarterly, 0, 45, 6, 0.126953125, 1.0, 11.94%,4.12%,12.34%,0.354%,0.238%,70.60%, 1.26e-05
 NA, NA, NA, NA, NA, NA, 39.14%,11.01%,12.99%,0.000%,0.000%,0.00%, 0.00e+00
 update_frequency, cost_factor, target_number, training_month, lam_1, lam_2, c_r,a_r,a_v,d_te,d_tev,m_tr,mse
 update_frequency, cost_factor, target_number, training_month, lam_1, lam_2, c_r,a_r,a_v,d_te,d_tev,m_tr,mse
 buy-and-hold, 0, 45, 6, 0.0064239501953125, 0.0, 39.04%,10.71%,10.92%,0.304%,0.207%,0.00%, 9.26e-06
 NA, NA, NA, NA, NA, NA, 39.14%,11.01%,12.99%,0.000%,0.000%,0.00%, 0.00e+00
